title,field
Methodology on the Trend of Underlying Shariah Contracts and Legal Disputes of Decided Islamic Banking Cases in Malaysia,"Business, Management and Accounting"
A novel combined systemic inflammation-based score can predict survival of intermediate-to-advanced hepatocellular carcinoma patients undergoing transarterial chemoembolization,Medicine
Triage and optimization: A new paradigm in the treatment of massive pulmonary embolism,Medicine
"Novel coumarin-chalcone derivatives: Synthesis, characterization, antioxidant, cyclic voltammetry, molecular modelling and biological evaluation studies as acetylcholinesterase, α-glycosidase, and carbonic anhydrase inhibitors",Medicine
Managing COVID‐19 in Renal Transplant Recipients: A Review of Recent Literature and Case Supporting Corticosteroid‐sparing Immunosuppression,Medicine
On Collaborative Innovation Mechanism of National Defense Science and Technology Industry in China,Engineering
Overnutrition and Scholastic Achievement: Is There a Relationship An 8-Year Follow-Up Study,Medicine
Correction to “Michael Reaction Inspired Atroposelective Construction of Axially Chiral Biaryls”,Chemistry
Thoughts from Afghanistan: Rebuilding community in complexity,Social Sciences
Corrigendum to “CP violation effects on the neutrino degeneracy parameters in the Early Universe” [Nucl. Phys. B 837 (2010) 50–60],Physics and Astronomy
Sudden Gains in Two Trauma-Focused Treatments for Posttraumatic Stress Disorder,Psychology
Vibration Evaluation of Omni-directional Mobile Mechanism of an Inspection Robot for Outdoor Infrastructure Facilities,Engineering
Efficacy and safety of dupilumab for the treatment of moderate-to-severe atopic dermatitis in adults: A pooled analysis of two phase 2 clinical trials,Medicine
Changes of androgen and corticosterone metabolites excretion and conversion in cystic fibrosis,Medicine
High sensitivity of roots to salt stress as revealed by novel tip bioassay in wheat seedlings,Agricultural and Biological Sciences
Creative thinking process at class viii students' in solving problems based on hayes' theory viewed from cognitive style and gender,Mathematics
CLINICAL AND BIOCHEMICAL STUDY OF FIBROBLAST GROWTH FACTOR 23 IN CHRONIC KIDNEY DISEASE.,Medicine
A Comparison between Neuromuscular Effects of Parathion and Paraoxon on Chick Biventer Cervicis Nerve-Muscle and the Reversal of their Effects by Pralidoxime,Agricultural and Biological Sciences
Lake eutrophication prediction based on improved MIMO-DD-3Q Learning,Environmental Science
Fluid inclusions in vein calcite from the productive reservoirs of the Astrakhansky gas condensate field,Engineering
Academic Entrepreneurship: The NSF I-Corps Program-Case Study [Entrepreneur Viewpoint],Decision Sciences
"Maternal and dietary behavior-related factors associated with preterm birth in Southeastern Terai, Nepal: A cross sectional study",Medicine
"The Impact of Financial Risk and Volatility to the Cost of Debt, and the Average Cost of Capital","Business, Management and Accounting"
Nucleic Acid-Induced Dimerization of HIV-1 Gag Protein,Immunology and Microbiology
Unilateral Bone Window Cerebral Falx Incision of Bilateral Frontal Lobes Cerebral Contusion and Laceration under Neuroendoscopy and Literature Review,Medicine
"Vertical distribution of particulate matter, black carbon and ultra-fine particles in Stuttgart, Germany",Environmental Science
Cell trajectory modeling identifies a primitive trophoblast state defined by BCAM enrichment,Medicine
Teachers Retention and Recruitment in Rural Areas in Tanzania: A Narrative Review Based on the Chinese Experience,Social Sciences
Experimental Validation of Aero-Hydro-Servo-Elastic Models of a Scaled Floating Offshore Wind Turbine,Engineering
Malignant lymphoma detected by screening program with esophagogastroduodenoscopy of one private screening center in Japan,Medicine
Mario Puzo’s Anti-Hero Influence on Indian Cinema,Arts and Humanities
"Ultrasensitive, stretchable, and transparent humidity sensor based on ion-conductive double-network hydrogel thin films",Engineering
The evolutionary view of coronavirus epidemics process,Medicine
"How Parenting Anxiety, Number of Children, and Employment Status Affect the Parental Anger of Mothers with Young Children in Korea",Psychology
Pulsed-Ultrasound Irradiation Induces the Production of Itaconate and Attenuates Inflammatory Responses in Macrophages,Engineering
"Novel Gold(III), Palladium(II) and Copper(II) Schiff Base Complexes Derived from 1-Hydroxy-2-acetonaphthone and Phenylethyl Amine: Synthesis, Characterization and Biological Studies",Medicine
Synthesis of graphene oxide from used electrode graphite with controlled oxidation process,Materials Science
A METHOD FOR TRANSFORMATION OF EBOM TO MBOM WITH MULTI-CAD ENVIRONMENT IN AUTOMOTIVE BIW MANUFACTURING,Engineering
Nature Walk Program as Means of Reconnecting with the Natural Environment: An Alternative Physical Education,Psychology
Locoregional Approaches in Cholangiocarcinoma Treatment,Medicine
Gastrointestinal Hemorrhage in Patients with Acute Ischemic Stroke: Should Endoscopy Be Within the Scope of Practice?,Medicine
A Patient Experience Course Syllabus: Integrating Service Sciences Research to Enhance Health-Care Delivery,"Business, Management and Accounting"
Luteolin attenuates the chemoresistance of osteosarcoma through inhibiting the PTN/β-catenin/MDR1 signaling axis by upregulating miR-384,"Biochemistry, Genetics and Molecular Biology"
Apoptotic and anti-proliferative effects of ethanolic Neem leaf extract on oral squamous cell carcinoma cell line,Agricultural and Biological Sciences
Management of donor partial anomalous pulmonary veins during lung transplantation,Medicine
Impact and synergies of GIM error estimates on the VTEC interpolation and single-frequency PPP at low latitude region,Physics and Astronomy
Sub-daily precipitation-streamflow modelling of the karst-dominated basin using an improved grid-based distributed Xinanjiang hydrological model,Environmental Science
"Nasopharyngeal Staphylococcus aureus colonization among HIV-infected children in Addis Ababa, Ethiopia: antimicrobial susceptibility pattern and association with Streptococcus pneumoniae colonization",Medicine
,
The Arab Military and American Foreign Policy,Social Sciences
P33 Changes to acute vascular care management during the COVID-19 pandemic: The Vascular and Endovascular Research Network (VERN) COvid-19 Vascular sERvice (COVER) Tier 3 study,Medicine
Corrosion resistance of fly ash-based geopolymer in hydrochloric and sulfuric acid solutions,Engineering
Modeling and Monitoring of Wood Moisture Content Using Time-Domain Reflectometry,Engineering
Comparative molecular analyses between microsatellite stable BRAFV600E mutant colorectal cancers and BRAFV600E mutant melanomas,Medicine
Air Transportation Direct Share Analysis and Forecast,"Economics, Econometrics and Finance"
Dual functional oyster shell-derived Ag/ZnO/CaCO<sub>3</sub> nanocomposites with enhanced catalytic and antibacterial activities for water purification,Chemistry
Study of Postharvest Quality and Antioxidant Capacity of Freshly Cut Amaranth after Blue LED Light Treatment,Agricultural and Biological Sciences
"Mental disorders, comorbidities, and suicidality at 30 years of age in a Brazilian birth cohort",Psychology
Intelligent Decision Support Systems,"Business, Management and Accounting"
RECOVERY RESPONSES OF SIMULATED HAIL-DAMAGED Pelargonium graveolens L’Hér. (cv. ‘Bourbon’) TO DIFFERENT MIXTURES OF BIOSTIMULANTS,"Biochemistry, Genetics and Molecular Biology"
Sustainable Cities: Some Reflections on Companies’ Settlements,"Economics, Econometrics and Finance"
SBR Vulcanizates Filled with Modified Ground Tire Rubber,Engineering
Nanopatterned Graphene: Direct Growth of Nanopatterned Graphene on Sapphire and Its Application in Light Emitting Diodes (Adv. Funct. Mater. 31/2020),Materials Science
Selective Heart Irradiation Induces Cardiac Overexpression of the Pro-hypertrophic miR-212,"Biochemistry, Genetics and Molecular Biology"
Biodentine Achieves Better Vickers Microhardness and Diametral Tensile Strength When Compared to Glass Ionomer Cement - An Experimental Study,Medicine
History of Childhood Kidney Disease and Risk of Adult End-Stage Renal Disease,Medicine
PULMONARY RENAL SYNDROME: A RARE COMPLICATION OF GRANULOMATOSIS WITH POLYANGITIS,"Biochemistry, Genetics and Molecular Biology"
PPR Control in a Sahelian Setting: What Vaccination Strategy for Mauritania?,Agricultural and Biological Sciences
Corticosteroid treatment in severe COVID-19 pneumonia: two cases and literature review,Medicine
Training Public Speaking and Presentation Skills for Rural Students on Online Platform: An Experimental Study,Arts and Humanities
Eltrombopag: a springboard to early responses in SAA,Medicine
Persistence of haemostatic response following gene therapy with valoctocogene roxaparvovec in severe haemophilia A,Medicine
Pebax® 2533/PVDF thin film mixed matrix membranes containing MIL-101 (Fe)/GO composite for CO<sub>2</sub> capture,Engineering
MP80-12 PERFORMANCE AND COST OF THE RENAL CANCER SPECIALIST MULTIDISCIPLINARY TEAM MEETING: RESULTS FROM 1500 DISCUSSIONS,"Economics, Econometrics and Finance"
Theories of Governance and Development: How Does India’s Experience Fit?,"Economics, Econometrics and Finance"
"Black-tailed prairie dog, Cynomys ludovicianus (Sciuridae), metapopulation response to novel sourced conspecific signals","Biochemistry, Genetics and Molecular Biology"
Cortical Granularity Shapes the Organization of Afferent Paths to the Amygdala and Its Striatal Targets in Nonhuman Primate,Neuroscience
A Subpixel Mapping Method for Urban Land Use by Reducing Shadow Effects,Earth and Planetary Sciences
Root Distribution and Soil Properties of Gully Heads and Their Effects on Headcut Migration in the Mollisols Region of Northeast China,Agricultural and Biological Sciences
From ‘social aid’ to ‘social psychiatry’: mental health and social welfare in post-war Greece (1950s–1960s),Psychology
Parental tobacco and indoor secondhand smoking exposure and the risk of offspring under‐five mortality in low‐ and middle‐income countries,Medicine
Adipose tissue grafting for management of persistent anastomotic leak after low anterior resection,Medicine
Gestational diabetes mellitus risk score: A practical tool to predict gestational diabetes mellitus risk in Tanzania,Medicine
SURİYELİ KADINLARIN İŞGÜCÜNE KATILIMI VE DENEYİMLERİ (İSTANBUL-SULTANBEYLİ ÖRNEĞİ),Social Sciences
PENGARUH PENAMBAHAN SERAT KAIN KATUN PAKAIAN BEKAS TERHADAP KEKUATAN TEKAN DAN BENDING DARI KOMPOSIT FOAM AGENT BETON RINGAN DENGAN STRIMIN BAJA,Engineering
Sosialisasi dan Workshop Implementasi Model Pembelajaran RADEC Bagi Guru-Guru Pendidikan Dasar dan Menengah,Social Sciences
"A cross-sectional survey of child abuse management knowledge among emergency medicine personnel in Cape Town, South Africa",Psychology
Sex Determination: Genetic Dominance in Oomycete Sex,Agricultural and Biological Sciences
"Chemical composition of extracts from leaves, stems and roots of wasabi (Eutrema japonicum) and their anti-cancer, anti-inflammatory and anti-microbial activities",Agricultural and Biological Sciences
